Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,The Hong Kong Polytechnic University,Research contracts,New,HKSAR Government,Amount (HK$ million),103,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong — other,Amount (HK$ million),2,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),1,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong Industry,Amount (HK$ million),40,
2009/10,The Hong Kong Polytechnic University,Research contracts,New,Non-HK,Amount (HK$ million),20,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,HKSAR Government,Amount (HK$ million),256,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),8,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),8,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),83,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Non-HK,Amount (HK$ million),67,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Block Grant,Amount (HK$ million),69,
2009/10,The Hong Kong Polytechnic University,Research grants,New,HKSAR Government,Amount (HK$ million),23,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong — other,Amount (HK$ million),13,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),15,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong Industry,Amount (HK$ million),3,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Non-HK,Amount (HK$ million),2,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Other RGC Grants,Amount (HK$ million),75,
